Date,Open,High,Low,Close,Volume,Adj Close
11/1/16,90.339996,93.870003,71.370003,73.690002,1677100,73.690002
10/3/16,100.720001,100.93,82.489998,88.730003,1058300,88.730003
9/1/16,93.470001,106.010002,93.32,100.07,929700,100.07
8/1/16,117.610001,120.720001,93.029999,93.650002,986300,93.650002
7/1/16,117.18,126.550003,110.730003,117.610001,1253900,117.610001
6/1/16,85.389999,112.129997,83.629997,112.040001,1162300,112.040001
5/2/16,101.279999,101.599998,82.849998,84.309998,1072200,84.309998
4/1/16,88.099998,100.519997,87.949997,100.5,931600,100.5
3/1/16,89.889999,96.5,86.610001,90.809998,961000,90.809998
2/1/16,72,93.669998,71.589996,91.25,1315900,90.59864
1/4/16,63.029999,70.779999,59.959999,70.720001,846600,70.215187
12/1/15,61.68,65.349998,59.080002,61.93,639600,61.48793
11/2/15,66.120003,67.199997,58.77,60.599998,880700,60.167423
10/1/15,60.27,72.07,58.34,66.870003,990700,66.39267
9/1/15,60.279999,61.200001,54.880001,59.09,1017300,58.668205
8/3/15,59.09,68.120003,57.849998,60.290001,954600,59.859638
7/1/15,66.040001,67.620003,57.060001,60.369999,738000,59.939068
6/1/15,72.25,73.690002,66.900002,66.949997,498700,66.472092
5/1/15,75.330002,77.790001,70.559998,72.230003,510700,71.714409
4/1/15,69.739998,78.900002,69.360001,76.169998,669000,75.626282
3/2/15,79,79.330002,66.449997,69.269997,927800,68.775536
2/2/15,83.639999,85.459999,75.120003,79.190002,810200,77.945953
1/2/15,66.830002,85.839996,66.690002,85.260002,1272200,83.920593
12/1/14,66.480003,69.519997,61.110001,67.410004,958600,66.351013
11/3/14,60.16,71.360001,58.400002,64.68,1284700,63.663898
10/1/14,67.440002,70.910004,58,58.209999,1196200,57.295536
9/2/14,83.050003,83.330002,67.349998,67.589996,763700,66.528175
8/1/14,85.610001,86.919998,80.059998,84.150002,467200,82.828033
7/1/14,85.599998,89.889999,84.480003,86.139999,558800,84.786766
6/2/14,73.559998,84.889999,72.139999,84.599998,542300,83.270958
5/1/14,79.120003,81.349998,72.690002,73.93,418200,72.768585
4/1/14,74.949997,81.629997,74.599998,80.07,659100,78.812126
3/3/14,82.129997,85.480003,74.040001,75,804700,73.82177
2/3/14,71.800003,81.889999,70.110001,79.040001,946500,77.320839
1/2/14,63.369999,71.5,59.189999,68.900002,880100,67.40139
12/2/13,69.089996,69.25,60.900002,62.810001,810300,61.443851
11/1/13,73.150002,79.330002,67.519997,70.75,943600,69.211151
10/1/13,69.599998,79.769997,67.68,73.900002,783000,72.292641
9/3/13,79.68,80.43,69.790001,71.529999,1032600,69.974182
8/1/13,75.099998,84.610001,66.050003,78.019997,1030100,76.323021
7/1/13,63.82,75.410004,60.169998,74.269997,1143200,72.654587
6/3/13,78.5,80.5,60.439999,64,1042500,62.607967
5/1/13,80.900002,81.529999,70.919998,78.379997,919900,76.675194
4/1/13,85.639999,85.690002,66.510002,81.779999,1067300,79.489334
3/1/13,81.879997,86.660004,79.510002,85.980003,617100,83.571693
2/1/13,95.849998,100.779999,81.309998,82.870003,589400,80.548805
1/2/13,101.139999,102.019997,91.910004,94.160004,512300,91.522568
12/3/12,107.620003,107.860001,96.260002,99.209999,503100,96.431114
11/1/12,119.730003,122.290001,100.059998,107.360001,566000,104.352837
10/1/12,123.43,127.269997,116.739998,119.589996,558500,116.240265
9/4/12,102.099998,124.800003,100.68,123,888100,119.554756
8/1/12,89.730003,103.610001,86.849998,102.970001,466300,100.0858
7/2/12,89.889999,94.099998,82.519997,89.480003,505300,86.973656
6/1/12,80.580002,96.699997,80.580002,90.010002,917200,87.488808
5/1/12,87.260002,88.830002,72.910004,79.349998,757000,77.127396
4/2/12,85,92.529999,80.139999,89.150002,853000,86.206818
3/1/12,115.690002,117.279999,85.330002,87.980003,1125300,85.075439
2/1/12,115.809998,119.730003,108.629997,114.730003,517900,110.942322
1/3/12,105.690002,115.440002,105.209999,114.410004,476900,110.632889
12/1/11,106.720001,109.639999,97.150002,102.099998,568700,98.729279
11/1/11,106.559998,120.730003,95.75,106.910004,801300,103.380493
10/3/11,100.059998,114.580002,89.900002,109.57,673200,105.952667
9/1/11,104.620003,115,92.5,96.720001,1005600,93.526901
8/1/11,90.589996,114.5,89.43,105.550003,1378100,102.065392
7/1/11,83.330002,93.57,82.050003,90.809998,645300,87.812004
6/1/11,81.830002,84.480003,73.099998,84.050003,657000,81.275185
5/2/11,85.889999,86.339996,74.529999,81.959999,678700,79.254181
4/1/11,81.07,88.68,80.599998,86.57,786900,83.502098
3/1/11,82.160004,82.790001,70.18,81.540001,922500,78.65036
2/1/11,77.480003,83.550003,76.849998,80.949997,774700,78.081261
1/3/11,82.599998,83.550003,75.050003,76.489998,1052100,73.77932
12/1/10,94.889999,95.720001,80.660004,82.330002,787600,79.412361
11/1/10,94.800003,101.919998,92,94.059998,799700,90.726669
10/1/10,102.110001,106.440002,90.480003,93.919998,834000,90.591629
9/1/10,93.580002,104.220001,90.739998,101.459999,724400,97.864426
8/2/10,90.379997,93.739998,85.110001,92.489998,677500,89.212303
7/1/10,94.709999,96.209999,87.080002,89.879997,810200,86.694801
6/1/10,88.790001,99.669998,85.010002,94.75,1169400,91.392212
5/3/10,84.790001,91.75,78.5,87.449997,1343900,84.350914
4/1/10,78.639999,86.110001,77.389999,84.239998,905400,81.254669
3/1/10,71.279999,79.059998,71.150002,76.830002,957800,74.107269
2/1/10,70.389999,74.809998,64.910004,72.010002,1090800,69.458084
1/4/10,82.25,86.629997,68.589996,68.93,1014100,66.326225
12/1/09,86.690002,90.300003,77.779999,79.139999,1439600,76.150551
11/2/09,68.120003,87.900002,66.5,84.739998,1845300,81.539009
10/1/09,68.849998,76.970001,63.57,66.709999,1726000,64.190079
9/1/09,57.900002,76.080002,56.779999,69.879997,2003000,67.240334
8/3/09,64.330002,65.5,55.060001,58.810001,894900,56.588501
7/1/09,66.099998,67.730003,56.830002,62.119999,1219800,59.773464
6/1/09,71.940002,74.209999,61.619999,64.169998,1613300,61.746029
5/1/09,48.959999,73.269997,48.599998,69.809998,1649600,67.172981
4/1/09,54.720001,56.889999,40.41,48.400002,1231400,46.571732
3/2/09,45.02,55.25,41.240002,54.349998,1169800,52.29697
2/2/09,43.360001,50.889999,42.369999,45.48,1195900,43.762028
1/2/09,43.98,46.490002,36.240002,44.459999,1266300,42.658249
12/1/08,35.299999,46.490002,31.700001,43.919998,1086900,42.140133
11/3/08,31.16,38.23,25.049999,38.23,1114000,36.680721
10/1/08,40.98,42.349998,22.280001,31.01,1270700,29.753313
9/2/08,39.82,46.830002,31.08,41.029999,1533100,39.367249
8/1/08,50.07,50.889999,40.220001,43.889999,1002600,42.111347
7/1/08,45.099998,56.279999,43.84,51.18,954800,49.105919
6/2/08,41.709999,46.880001,37.200001,46.18,805900,44.308548
5/1/08,44.34,48.599998,41.369999,42.400002,606500,40.681732
4/1/08,44.619999,55.959999,42.970001,45.52,683100,43.675293
3/3/08,52.709999,56.150002,42.82,46.34,864000,44.462063
2/1/08,50.939999,53.130001,42.540001,51.639999,811200,49.547279
1/2/08,37.389999,50.740002,36.32,47.709999,978500,45.658127
12/3/07,35,37.66,32.25,37.130001,496600,35.533146
11/1/07,36.060001,39.900002,34.099998,35.18,1020300,33.667007
10/1/07,33.310001,38.049999,30.5,35.939999,707300,34.394321
9/4/07,24.43,34.130001,24.379999,33.240002,771900,31.810444
8/1/07,22.6,25.23,20.83,23.950001,557400,22.919979
7/2/07,22.219999,24.450001,21.85,22.9,422600,21.915136
6/1/07,23.68,24.299999,20.9,22.190001,353100,21.235672
5/1/07,23.950001,25.5,22.549999,23.440001,360100,22.431913
4/2/07,23.9,26.299999,23.77,23.950001,335300,22.919979
3/1/07,22.49,24.379999,21.110001,23.91,387900,22.881699
2/1/07,23.83,24.75,22.299999,22.9,473100,21.915136
1/3/07,23.639999,24,20.719999,23.51,413800,22.402216
12/1/06,23,23.73,22.35,23.459999,338000,22.354572
11/1/06,22.99,23.58,20.51,22.940001,453800,21.859076
10/2/06,20.639999,22.67,19.1,22.67,412800,21.601797
9/1/06,22.459999,25.26,18.959999,20.360001,441200,19.400644
8/1/06,22.040001,23.719999,21.129999,22.440001,294000,21.382635
