Date,Open,High,Low,Close,Volume,Adj Close
2016-11-17,5.57,5.62,5.38,5.39,2886500,5.39
2016-11-16,5.49,5.63,5.43,5.47,2495500,5.47
2016-11-15,5.41,5.58,5.40,5.55,3512100,5.55
2016-11-14,5.22,5.29,5.10,5.26,4133900,5.26
2016-11-11,5.27,5.28,5.20,5.22,3606200,5.22
2016-11-10,5.39,5.47,5.36,5.37,1986600,5.37
2016-11-09,5.42,5.58,5.37,5.52,2755700,5.52
2016-11-08,5.37,5.48,5.35,5.41,2157300,5.41
2016-11-07,5.37,5.41,5.29,5.41,1897000,5.41
2016-11-04,5.30,5.39,5.22,5.29,3597100,5.29
2016-11-03,5.45,5.47,5.30,5.31,4482300,5.31
2016-11-02,5.51,5.55,5.37,5.45,3232600,5.45
2016-11-01,5.68,5.70,5.55,5.63,1616400,5.63
2016-10-31,5.80,5.82,5.60,5.60,4141400,5.60
2016-10-28,5.96,6.03,5.85,5.90,1704100,5.90
2016-10-27,6.03,6.08,5.99,6.03,998800,6.03
2016-10-26,5.95,6.11,5.90,5.96,2595500,5.96
2016-10-25,6.13,6.18,6.04,6.06,1807000,6.06
2016-10-24,6.11,6.19,6.03,6.19,1446700,6.19
2016-10-21,6.18,6.23,6.13,6.23,876700,6.23
2016-10-20,6.19,6.25,6.15,6.18,3066200,6.18
2016-10-19,6.25,6.41,6.25,6.31,3222100,6.31
2016-10-18,6.20,6.20,6.09,6.18,954000,6.18
2016-10-17,6.14,6.17,6.05,6.13,917400,6.13
2016-10-14,6.19,6.20,6.10,6.18,1696700,6.18
2016-10-13,6.13,6.20,6.02,6.18,3315900,6.18
2016-10-12,6.15,6.18,6.10,6.16,1694100,6.16
2016-10-11,6.31,6.35,6.17,6.23,4409600,6.23
2016-10-10,6.20,6.37,6.20,6.29,4037900,6.29
2016-10-07,6.19,6.20,6.04,6.06,2879400,6.06
2016-10-06,6.17,6.22,6.12,6.22,3535800,6.22
2016-10-05,6.07,6.12,6.01,6.10,4452100,6.10
2016-10-04,5.99,6.00,5.90,5.92,2607100,5.92
2016-10-03,5.87,5.99,5.83,5.95,2830800,5.95
2016-09-30,5.85,5.87,5.78,5.83,3364200,5.83
2016-09-29,5.75,5.88,5.70,5.76,3901000,5.76
2016-09-28,5.49,5.79,5.36,5.67,5642100,5.67
2016-09-27,5.42,5.48,5.33,5.40,3298700,5.40
2016-09-26,5.52,5.63,5.50,5.54,2715800,5.54
2016-09-23,5.64,5.68,5.36,5.44,3638000,5.44
2016-09-22,5.68,5.71,5.62,5.64,2966600,5.64
2016-09-21,5.49,5.59,5.47,5.57,3545400,5.57
2016-09-20,5.27,5.44,5.24,5.39,3156600,5.39
2016-09-19,5.34,5.47,5.32,5.33,2589100,5.33
2016-09-16,5.30,5.42,5.28,5.32,3517800,5.32
2016-09-15,5.41,5.50,5.33,5.42,3532200,5.42
2016-09-14,5.45,5.55,5.33,5.38,4626600,5.38
2016-09-13,5.59,5.63,5.49,5.52,3483400,5.52
2016-09-12,5.52,5.75,5.50,5.69,1579200,5.69
2016-09-09,5.79,5.81,5.64,5.66,3176700,5.66
2016-09-08,5.78,5.95,5.67,5.90,4632600,5.90
2016-09-07,5.57,5.65,5.50,5.63,1472700,5.63
2016-09-06,5.45,5.57,5.41,5.53,1576200,5.53
2016-09-02,5.44,5.53,5.40,5.45,1812600,5.45
2016-09-01,5.41,5.46,5.28,5.36,3643700,5.36
2016-08-31,5.66,5.69,5.48,5.53,2919700,5.53
2016-08-30,5.86,5.89,5.70,5.75,1632400,5.75
2016-08-29,5.78,5.87,5.77,5.82,896100,5.82
2016-08-26,5.85,6.03,5.79,5.86,1684700,5.86
2016-08-25,5.76,5.89,5.75,5.85,1347300,5.85
2016-08-24,5.85,5.90,5.73,5.78,2760500,5.78
2016-08-23,5.78,6.00,5.75,5.94,2670800,5.94
2016-08-22,5.93,5.97,5.87,5.88,2659400,5.88
2016-08-19,6.09,6.11,6.02,6.08,2828600,6.08
2016-08-18,5.94,6.11,5.94,6.08,4095400,6.08
2016-08-17,5.83,5.90,5.72,5.88,3175900,5.88
2016-08-16,5.79,5.86,5.73,5.85,3065200,5.85
2016-08-15,5.71,5.80,5.67,5.79,2634500,5.79
2016-08-12,5.54,5.64,5.50,5.62,3216500,5.62
2016-08-11,5.28,5.54,5.25,5.46,3912600,5.46
2016-08-10,5.43,5.49,5.20,5.21,3065300,5.21
2016-08-09,5.50,5.53,5.37,5.41,1860300,5.41
2016-08-08,5.42,5.52,5.40,5.43,2699500,5.43
2016-08-05,5.26,5.30,5.15,5.30,2055000,5.30
2016-08-04,5.10,5.31,5.06,5.26,3218000,5.26
2016-08-03,4.98,5.17,4.88,5.13,6364600,5.13
2016-08-02,5.08,5.11,4.88,4.96,4499000,4.96
2016-08-01,5.12,5.13,4.97,4.97,5056500,4.97
2016-07-29,5.10,5.25,5.07,5.23,3384800,5.23
2016-07-28,5.27,5.31,5.14,5.15,2527700,5.15
2016-07-27,5.40,5.44,5.22,5.31,3810400,5.31
2016-07-26,5.40,5.46,5.37,5.38,3065100,5.38
2016-07-25,5.48,5.51,5.41,5.46,2785500,5.46
2016-07-22,5.66,5.67,5.54,5.65,3448600,5.65
2016-07-21,5.77,5.83,5.66,5.67,1686700,5.67
2016-07-20,5.71,5.88,5.67,5.79,2435200,5.79
2016-07-19,5.85,5.87,5.78,5.79,1551600,5.79
2016-07-18,5.80,5.88,5.78,5.85,2079600,5.85
2016-07-15,5.95,6.00,5.87,5.93,1508700,5.93
2016-07-14,5.90,5.95,5.83,5.89,1400700,5.89
2016-07-13,5.96,6.02,5.77,5.84,3439700,5.84
2016-07-12,6.00,6.09,5.88,6.04,3611600,6.04
2016-07-11,5.92,5.95,5.76,5.77,2382200,5.77
2016-07-08,5.96,5.97,5.80,5.86,3201100,5.86
2016-07-07,6.24,6.25,5.81,5.87,5800700,5.87
2016-07-06,5.94,6.19,5.91,6.13,2925200,6.13
2016-07-05,6.11,6.13,5.95,6.04,3579900,6.04
2016-07-01,6.21,6.39,6.20,6.38,1880000,6.38
2016-06-30,6.33,6.41,6.22,6.25,2152100,6.25
2016-06-29,6.26,6.53,6.24,6.41,3075500,6.41
2016-06-28,6.16,6.20,6.03,6.20,2889500,6.20
2016-06-27,6.03,6.04,5.85,6.00,2616000,6.00
2016-06-24,6.12,6.26,6.10,6.16,4251500,6.16
2016-06-23,6.49,6.54,6.39,6.52,1745900,6.52
2016-06-22,6.54,6.57,6.25,6.38,2236600,6.38
2016-06-21,6.39,6.50,6.33,6.47,1900200,6.47
2016-06-20,6.42,6.51,6.37,6.47,2502900,6.47
2016-06-17,6.17,6.31,6.13,6.30,2294200,6.30
2016-06-16,6.14,6.14,5.92,5.95,4068000,5.95
2016-06-15,6.25,6.39,6.15,6.18,2533200,6.18
2016-06-14,6.35,6.40,6.31,6.35,1442800,6.35
2016-06-13,6.34,6.50,6.34,6.38,1668300,6.38
2016-06-10,6.58,6.62,6.44,6.46,2138600,6.46
2016-06-09,6.69,6.77,6.68,6.73,2049600,6.73
2016-06-08,6.77,6.85,6.72,6.84,3000800,6.84
2016-06-07,6.60,6.70,6.59,6.69,2216300,6.69
2016-06-06,6.56,6.60,6.47,6.56,2184800,6.56
2016-06-03,6.46,6.47,6.35,6.43,1493300,6.43
2016-06-02,6.32,6.52,6.31,6.46,2449900,6.46
2016-06-01,6.30,6.50,6.25,6.50,2206900,6.50
2016-05-31,6.52,6.63,6.41,6.43,2668200,6.43
2016-05-27,6.42,6.53,6.39,6.52,1138000,6.52
2016-05-26,6.61,6.62,6.48,6.49,1841600,6.49
2016-05-25,6.48,6.57,6.39,6.56,2521200,6.56
2016-05-24,6.30,6.42,6.28,6.40,2016500,6.40
2016-05-23,6.18,6.30,6.16,6.29,1363000,6.29
2016-05-20,6.38,6.43,6.26,6.32,1776700,6.32
2016-05-19,6.22,6.38,6.14,6.37,2162600,6.37
2016-05-18,6.42,6.52,6.32,6.33,2388500,6.33
2016-05-17,6.37,6.47,6.33,6.46,2543700,6.46
2016-05-16,6.31,6.39,6.27,6.37,3556600,6.37
2016-05-13,6.07,6.13,6.04,6.09,1366300,6.09
2016-05-12,6.20,6.21,6.02,6.15,3079900,6.15
2016-05-11,5.77,6.13,5.75,6.07,4225600,6.07
2016-05-10,5.70,5.85,5.68,5.84,1896500,5.84
2016-05-09,5.77,5.78,5.62,5.64,2619800,5.64
2016-05-06,5.70,5.93,5.69,5.80,1401000,5.80
2016-05-05,5.99,6.00,5.71,5.77,2255200,5.77
2016-05-04,5.77,5.86,5.59,5.70,1983000,5.70
2016-05-03,5.76,5.76,5.62,5.67,3102700,5.67
2016-05-02,6.01,6.01,5.82,5.87,1721800,5.87
2016-04-29,6.14,6.21,5.96,6.05,6592700,6.05
2016-04-28,5.97,6.09,5.94,6.01,2454400,6.01
2016-04-27,5.89,6.00,5.71,5.96,4012400,5.96
2016-04-26,5.68,5.79,5.65,5.76,1584200,5.76
2016-04-25,5.75,5.78,5.55,5.59,1854600,5.59
2016-04-22,5.71,5.82,5.70,5.73,2085100,5.73
2016-04-21,5.69,5.75,5.63,5.68,2495700,5.68
2016-04-20,5.40,5.80,5.36,5.71,4063100,5.71
2016-04-19,5.40,5.57,5.39,5.50,3260100,5.50
2016-04-18,5.13,5.41,5.11,5.35,3601200,5.35
2016-04-15,5.49,5.50,5.38,5.47,2591400,5.47
2016-04-14,5.65,5.72,5.57,5.62,1849600,5.62
2016-04-13,5.60,5.73,5.54,5.62,3533900,5.62
2016-04-12,5.45,5.68,5.42,5.62,4292100,5.62
2016-04-11,5.41,5.48,5.33,5.38,4293100,5.38
2016-04-08,5.39,5.41,5.25,5.30,4997600,5.30
2016-04-07,5.12,5.15,5.00,5.10,1537700,5.10
2016-04-06,5.03,5.19,4.99,5.17,2743900,5.17
2016-04-05,4.83,4.92,4.79,4.88,2251200,4.88
2016-04-04,4.94,5.03,4.85,4.87,3514400,4.87
2016-04-01,4.95,5.02,4.93,4.95,2661500,4.95
2016-03-31,5.09,5.25,5.08,5.12,1628500,5.12
2016-03-30,5.27,5.36,5.09,5.12,1653300,5.12
2016-03-29,5.09,5.17,5.05,5.17,1808400,5.17
2016-03-28,5.28,5.31,5.19,5.27,1138400,5.27
2016-03-24,5.16,5.33,5.13,5.30,3289600,5.30
2016-03-23,5.55,5.57,5.36,5.36,2426700,5.36
2016-03-22,5.60,5.72,5.56,5.66,2415400,5.66
2016-03-21,5.63,5.69,5.56,5.69,3205400,5.69
2016-03-18,5.76,5.85,5.62,5.66,2977900,5.66
2016-03-17,5.58,5.70,5.57,5.64,3733600,5.64
2016-03-16,5.38,5.52,5.38,5.46,2736100,5.46
2016-03-15,5.30,5.31,5.20,5.25,2708400,5.25
2016-03-14,5.31,5.43,5.26,5.40,3809100,5.40
2016-03-11,5.51,5.58,5.41,5.48,3933400,5.48
2016-03-10,5.39,5.44,5.27,5.40,1822600,5.40
2016-03-09,5.41,5.52,5.36,5.43,3937000,5.43
2016-03-08,5.39,5.39,5.19,5.27,4456200,5.27
2016-03-07,5.22,5.51,5.22,5.44,6412700,5.44
2016-03-04,5.04,5.18,4.98,5.17,3946400,5.17
2016-03-03,4.90,5.07,4.88,4.97,2688100,4.97
2016-03-02,4.85,5.01,4.83,4.98,3780300,4.98
2016-03-01,4.82,4.98,4.76,4.91,2293700,4.91
2016-02-29,4.83,4.86,4.73,4.82,2461200,4.82
2016-02-26,4.95,4.96,4.66,4.74,3994700,4.74
2016-02-25,4.72,4.88,4.58,4.81,1811900,4.81
2016-02-24,4.48,4.81,4.45,4.77,4475700,4.77
2016-02-23,4.71,4.71,4.57,4.62,3041400,4.62
2016-02-22,4.81,4.85,4.75,4.79,1823500,4.79
2016-02-19,4.53,4.65,4.53,4.63,2901400,4.63
2016-02-18,4.97,4.99,4.61,4.69,3775800,4.69
2016-02-17,4.60,4.85,4.53,4.84,4750800,4.84
2016-02-16,4.73,4.73,4.50,4.60,2821200,4.60
2016-02-12,4.59,4.66,4.49,4.54,2922400,4.54
2016-02-11,4.40,4.55,4.30,4.48,4961500,4.48
2016-02-10,4.42,4.62,4.40,4.47,3275600,4.47
2016-02-09,4.64,4.69,4.44,4.51,4898900,4.51
2016-02-08,4.69,4.79,4.61,4.71,3320400,4.71
2016-02-05,4.82,4.94,4.73,4.81,2984400,4.81
2016-02-04,5.14,5.20,4.83,4.89,3157400,4.89
2016-02-03,4.80,5.05,4.65,4.98,6134600,4.98
2016-02-02,4.64,4.75,4.55,4.64,3923300,4.64
2016-02-01,4.93,4.97,4.80,4.86,3445100,4.86
2016-01-29,5.18,5.22,4.94,5.12,2569400,5.12
2016-01-28,5.15,5.17,4.91,5.09,5494100,5.09
2016-01-27,4.68,5.00,4.66,4.79,6888800,4.79
2016-01-26,4.65,4.91,4.61,4.66,4920600,4.66
2016-01-25,4.62,4.78,4.49,4.51,5819300,4.51
2016-01-22,4.82,4.85,4.59,4.83,11881400,4.83
2016-01-21,5.42,5.42,4.47,4.57,37055400,4.57
2016-01-20,5.50,5.64,5.31,5.51,6917200,5.51
2016-01-19,5.60,5.61,5.42,5.58,4420100,5.58
2016-01-15,5.24,5.72,5.21,5.61,8120300,5.61
2016-01-14,5.41,5.60,5.33,5.49,3945600,5.49
2016-01-13,5.50,5.54,5.25,5.31,6989600,5.31
2016-01-12,5.48,5.48,5.13,5.40,8053300,5.40
2016-01-11,5.61,5.63,5.30,5.35,6165900,5.35
2016-01-08,5.79,5.80,5.64,5.67,4849100,5.67
2016-01-07,5.75,5.88,5.71,5.78,6221300,5.78
2016-01-06,5.92,6.00,5.79,5.88,7621600,5.88
2016-01-05,6.12,6.17,6.07,6.12,3215400,6.12
2016-01-04,6.41,6.52,6.12,6.26,3767700,6.26
2015-12-31,6.20,6.43,6.17,6.23,3006100,6.23
2015-12-30,6.30,6.34,6.21,6.25,2490200,6.25
2015-12-29,6.46,6.55,6.44,6.48,2467000,6.48
2015-12-28,6.38,6.39,6.28,6.35,3278000,6.35
2015-12-24,6.53,6.54,6.46,6.51,997600,6.51
2015-12-23,6.34,6.55,6.31,6.51,5365600,6.51
2015-12-22,6.04,6.22,6.04,6.19,3458100,6.19
2015-12-21,6.05,6.10,6.01,6.08,2973500,6.08
2015-12-18,6.15,6.25,6.07,6.12,4718000,6.12
2015-12-17,6.21,6.22,6.11,6.14,3243500,6.14
2015-12-16,6.40,6.45,6.17,6.26,5027500,6.26
2015-12-15,6.47,6.66,6.40,6.51,4035500,6.51
2015-12-14,6.31,6.48,6.26,6.39,4581700,6.39
2015-12-11,6.44,6.47,6.33,6.40,5939600,6.40
2015-12-10,6.53,6.62,6.46,6.50,4386100,6.50
2015-12-09,6.78,6.98,6.54,6.64,4589200,6.64
2015-12-08,6.60,6.90,6.55,6.71,5794000,6.71
2015-12-07,6.93,6.96,6.66,6.73,9463800,6.73
2015-12-04,7.22,7.31,7.14,7.22,2700300,7.22
2015-12-03,7.32,7.55,7.23,7.43,2846800,7.43
2015-12-02,7.40,7.57,7.17,7.24,3528400,7.24
2015-12-01,7.51,7.62,7.45,7.49,2185900,7.49
2015-11-30,7.71,7.73,7.50,7.52,2139200,7.52
2015-11-27,7.65,7.67,7.61,7.63,925700,7.63
2015-11-25,7.67,7.84,7.58,7.82,1823800,7.82
2015-11-24,7.81,7.90,7.66,7.79,2918100,7.79
2015-11-23,7.50,7.75,7.49,7.59,3788200,7.59
2015-11-20,7.55,7.75,7.49,7.54,6732200,7.54
